Name,COUNT(SalesOrderID)
"James Hendergart",12
"Takiko Collins",6
"Jauna Elson",12
"Robin McGuigan",12
"Jimmy Bischoff",8
"Sandeep Katyal",4
"Richard Bready",12
"Abraham Swearengin",4
"Scott MacDonald",5
"Ryan Calafato",12
"Carolyn Farino",9
"Mae Black",4
"Peggy Justice",8
"Phyllis Thomas",12
"Nancy Hirota",12
"Eric Brumfield",4
"Valerie Hendricks",12
"Mark Hanson",12
"Brenda Heaney",9
"Jean Jordan",8
"Susan French",12
"Frances Adams",12
"Charles Christensen",6
"Judith Frazier",4
"François Ferrier",12
"Russell King",4
"Abe Tramel",8
"Karren Burkhardt",10
"Deanna Buskirk",7
"John Donovan",8
"Stacey Cereghino",12
"Douglas Baldwin",12
"Michael Blythe",12
"Sandra Maynard",12
"Carla Adams",4
"Shane Belli",8
"Run Liu",9
"Barbara Hoffman",7
"Cole Watson",2
"Rachael Martinez",1
"Sydney Wright",2
"Ruben Prasad",2
"Christy Zhu",3
"Colin Anand",2
"Albert Alvarez",2
"Julio Ruiz",3
"Curtis Lu",3
"Edward Brown",2
"Emma Brown",2
"Brad Deng",2
"Martha Xu",2
"Katrina Raji",2
"Courtney Edwards",2
"Abigail Henderson",2
"Sydney Rogers",1
"Latasha Alonso",3
"Warren Jai",2
"Jonathon Gutierrez",2
"Alexandra Watson",2
"Kevin Gonzalez",2
"Lucas Hill",1
"Melanie Sanchez",4
"Louis Xie",3
"Albert Blanco",3
"Bonnie Xu",2
"Misty Raji",2
"Anne Dominguez",4
"Kelvin Huang",2
"Logan Gonzales",2
"Alyssa Garcia",1
"Mayra Prasad",4
"Garrett Cooper",1
"Rosa Zheng",2
"Alejandro Beck",3
"Patrick Cook",1
"Richard Brooks",1
"Casey Pal",2
"Ruben Torres",3
"Lindsey Andersen",4
"Melody Ramos",2
"Phillip Sai",2
"Cory Arun",2
"Jeremiah Martinez",2
"Tamara Lal",3
"Marco Mehta",3
"Haley Ward",2
"Manuel Fernandez",2
"Kelvin Liang",2
"Christian Jackson",2
"Alexandria Hughes",2
"Paige Murphy",2
"Stacey Lu",2
"Darrell Raji",2
"Luke Adams",4
"Tabitha Arthur",2
"Morgan Phillips",2
"Kayla Long",2
"Cedric Liang",2
"Shannon Wang",3
"Jackson Li",2
"Jon Chander",4
"Tiffany Gao",2
"Brenda Fernandez",2
"Courtney Carter",1
"Martha Liang",2
"Ebony Ashe",2
"Jacquelyn Suarez",3
"Krystal Holt",2
"Eugene Huang",3
"Evan Bailey",1
"Gabrielle Jenkins",2
"Warren Ye",1
"Ashley Washington",2
"Damien Huang",2
"Arthur Perez",2
"Roy Raman",2
"Jessie Zhao",3
"James Flores",4
"Troy Sai",2
"Clarence Rai",3
"Warren Zhang",2
"Melody Diaz",2
"Monique Ramos",2
"Melvin She",2
"Cameron Thompson",2
"Jessica Sanchez",2
"Ivan Raman",2
"Clinton Moreno",2
"Don Lal",1
"Latoya Goel",4
"Tristan Butler",2
"Abigail Perry",1
"Dustin Lal",2
"Andres Lal",2
"Jon Yang",3
"Jimmy Moreno",3
"Maria Henderson",2
"Jaime Gomez",2
"Francis Ramos",2
"Tonya She",2
"Danny Gomez",2
